,Nr_boczny,Numer_Linii,brigade_id,update_time,pozycja_dlugosc,pozycja_szerokosc
197,4504,150,3,2023-10-25 19:35:00,17.1385231018066,51.1455841064453
198,4601,125,1,2023-10-25 19:35:05,17.0420742034912,51.0957412719727
199,4603,146,3,2023-10-25 19:35:05,17.1152610778809,51.1029586791992
200,4606,112,8,2022-08-22 13:28:43,17.0063076019287,51.0749778747559
201,4607,112,4,2023-10-24 16:06:26,17.0005054473877,51.0497932434082
202,4608,112,11,2023-10-25 19:35:00,17.0074901580811,51.0600776672363
203,4614,112,9,2023-10-24 22:37:05,17.0050220489502,51.0477752685547
204,4615,145,10,2023-10-24 19:06:11,17.0590209960938,51.0498847961426
205,4616,125,8,2023-10-25 19:34:56,16.9622936248779,51.0774803161621
206,4618,145,3,2023-10-25 10:56:40,17.0609073638916,51.0450744628906
207,4619,145,6,2023-10-25 10:35:43,17.0593681335449,51.0498466491699
208,4621,113,10,2023-10-25 19:35:05,17.0317344665527,51.052547454834
209,4622,145,7,2023-10-25 19:35:00,17.0353507995605,51.0859870910645
210,4623,145,5,2023-10-25 19:34:49,17.0518226623535,51.076473236084
211,4624,149,1,2023-10-25 19:34:54,17.0599193572998,51.111328125
212,4627,113,3,2023-10-25 19:35:05,17.0020179748535,51.0600547790527
213,4628,145,8,2023-10-25 07:25:23,17.0587959289551,51.0506782531738
214,4629,113,9,2023-09-21 07:52:48,17.0353832244873,51.0846939086914
215,4630,149,3,2023-10-25 19:34:49,17.0167083740234,51.1090888977051
216,4631,145,1,2023-10-25 19:35:05,17.0938358306885,51.1062889099121
217,4632,125,5,2023-10-25 19:35:05,17.0417213439941,51.0960083007812
218,4636,125,10,2023-10-25 19:35:02,16.9641036987305,51.0781173706055
219,4638,112,8,2023-10-19 19:07:27,17.0019798278809,51.0484199523926
220,4642,146,10,2023-10-25 19:34:54,17.0436992645264,51.1068077087402
221,5402,129,12,2023-10-25 19:35:05,17.02952003479,51.1488189697266
222,5406,129,14,2023-10-25 19:35:05,16.9824447631836,51.1257133483887
223,5410,130,1,2023-10-25 19:34:56,17.0432415008545,51.1485939025879
224,5416,115,4,2023-10-25 19:35:00,17.1184139251709,51.1136665344238
225,5417,115,11,2023-10-25 19:35:02,17.0775299072266,51.1055526733398
226,5418,101,4,2023-10-25 19:34:51,17.0106391906738,51.1571502685547
227,5424,129,15,2023-10-25 13:14:33,17.0276966094971,51.1533737182617
228,5426,151,7,2023-10-25 19:35:05,17.1116008758545,51.1458473205566
229,5427,151,1,2023-10-25 19:35:05,17.1162357330322,51.1734428405762
230,5428,246,33,2023-10-25 01:23:17,17.0646553039551,51.1550598144531
231,5429,116,6,2023-10-25 18:15:01,17.0693645477295,51.1527404785156
232,5430,129,3,2023-10-25 19:35:02,17.0304679870605,51.1369667053223
233,5431,127,6,2023-10-25 19:34:54,17.0108451843262,51.0708885192871
234,5433,143,1,2023-10-25 04:25:27,17.0156803131104,51.1533203125
235,5439,319,5,2023-10-25 14:43:38,16.986385345459,51.0611381530762
236,5440,130,5,2023-10-25 19:34:56,17.0652637481689,51.1323318481445
237,5441,142,2,2023-10-25 19:35:05,17.0208606719971,51.1477661132812
238,5442,115,9,2023-10-25 19:35:05,17.0908145904541,51.1132926940918
239,5443,111,12,2023-10-25 19:35:02,17.0064964294434,51.1800117492676
240,5444,129,10,2023-10-25 10:13:04,17.0310592651367,51.1437110900879
241,5445,126,33,2023-10-25 13:22:42,17.0107860565186,51.1571807861328
242,5601,103,32,2023-10-25 19:34:51,16.9248676300049,51.1575317382812
243,5603,110,12,2023-10-24 17:08:53,17.0611667633057,51.0438232421875
244,5606,607,13,2023-10-25 13:45:43,17.0108375549316,51.1574668884277
245,5607,128,12,2023-10-25 19:34:54,16.9518165588379,51.1193351745605
246,5609,127,2,2023-10-25 07:18:00,17.012487411499,51.1560173034668
247,5610,136,7,2023-10-25 19:35:00,16.9651203155518,51.1391525268555
248,7301,111,8,2023-10-25 19:34:54,17.1335754394531,51.1600723266602
249,7305,126,10,2023-10-25 19:35:05,16.9606857299805,51.1123733520508
250,7307,116,2,2023-10-25 19:35:00,17.0775909423828,51.1210517883301
251,7309,126,14,2023-10-25 19:35:02,16.9748554229736,51.1388282775879
252,7311,115,3,2023-10-25 19:34:56,17.1658668518066,51.0958251953125
253,7312,116,1,2023-10-25 19:35:02,17.0737743377686,51.1152114868164
254,7313,105,2,2023-10-25 19:35:00,17.0392398834229,51.1361808776855
255,7314,111,1,2023-10-25 19:35:02,17.1326007843018,51.1590881347656
256,7315,115,5,2023-10-25 19:35:02,17.1128444671631,51.1152763366699
257,7317,118,2,2023-10-25 19:35:05,17.0293445587158,51.1380348205566
258,7318,143,6,2023-10-25 19:34:51,16.9796085357666,51.1264724731445
259,7319,111,10,2023-10-25 19:35:05,17.0578384399414,51.1119194030762
260,7320,116,7,2023-10-25 19:35:00,17.0320663452148,51.136100769043
261,7321,108,4,2023-10-25 19:35:05,17.0351696014404,51.1248168945312
262,7323,101,3,2023-10-25 19:34:56,16.9406547546387,51.1464996337891
263,7326,104,1,2023-10-25 19:35:00,16.9762325286865,51.1347389221191
264,7328,122,9,2023-10-25 19:34:56,17.036958694458,51.0963859558105
265,7329,143,17,2023-10-25 19:35:00,17.0647258758545,51.077808380127
266,7330,142,6,2023-10-25 19:34:51,17.0280838012695,51.1181678771973
267,7331,127,12,2023-10-25 19:34:56,16.9492206573486,51.1455383300781
268,7332,151,5,2023-10-25 19:35:02,17.1208324432373,51.1601982116699
269,7333,116,4,2023-10-25 19:35:00,17.0587005615234,51.1385612487793
270,7335,115,1,2023-10-25 19:35:02,17.1556358337402,51.1027450561523
271,7336,126,8,2023-10-25 19:34:56,16.9598636627197,51.112434387207
272,7337,104,3,2023-10-25 19:34:51,16.9802551269531,51.1301956176758
273,7338,127,4,2023-10-25 19:34:51,17.0074024200439,51.0878982543945
274,7339,127,1,2023-10-25 10:33:15,16.9898700714111,51.1285552978516
275,7340,142,13,2023-10-25 19:35:00,16.9417858123779,51.1216850280762
276,7341,142,12,2023-10-25 16:50:24,17.0276966094971,51.1251258850098
277,7342,143,13,2023-10-25 19:35:05,16.9667663574219,51.080249786377
278,7345,151,9,2023-10-25 19:34:51,17.0226516723633,51.1456451416016
279,7347,714,3,2023-10-25 19:34:27,16.9943943023682,51.1373863220215
280,7351,115,6,2023-10-25 19:34:56,17.0375709533691,51.1360206604004
281,7353,127,5,2023-10-25 19:35:02,17.013578414917,51.1012992858887
282,7355,714,4,2023-10-25 19:35:02,17.0360355377197,51.1262283325195
283,7356,143,19,2023-10-25 19:34:51,17.017671585083,51.0906448364258
284,7401,143,14,2023-10-25 19:34:54,17.0532379150391,51.0767021179199
285,7402,129,9,2023-10-25 19:35:02,16.883394241333,51.109001159668
286,7403,122,10,2023-10-25 19:35:05,17.020866394043,51.1116409301758
287,7405,118,6,2023-10-25 19:35:02,17.1182441711426,51.1135940551758
